sensor,a,b,c,K,g,S,sensor_desc,...9
13gul,15.14703344265244,-2.121157949842009,0.005453386162498595,-14.355272008156891,8.662558372341373,287.5291206538401,sensor13gul,NA
21,5.691253242846125,-2.0479622740117116,0.09680526498915763,-12.422458024887504,10.521227813085964,137.19750373429156,sensor21,NA
4grøn,-12.02578492184243,-3.507182553880883,-0.11813844251928027,-4.034129037004583,29.562530817005836,-146.5279102287551,sensor4_grøn,NA
P1,12.9451207917268,-2.1730477428134396,0.00121723210824021,-10.716949280221645,8.790964873945281,267.6222776686637,NA,NA
P2,15.149812483797785,-2.125287324074591,-4.8380837324323505e-4,-12.299680861651956,8.392450737133744,265.91409815328916,NA,NA
P3,15.532756514270666,-2.10101270931989,-0.00500785761960616,-11.49655401146152,8.146970798280686,287.2895424047919,NA,NA
P6,15.148169023934225,-2.1286129034490067,-0.01308089508371975,-9.073408221274669,4.523833698918408,278.64007968998277,NA,NA
P8,23.136409008493768,-1.7511559114904265,-0.3613509162645752,-18.90435972663099,862.458337881569,315.45046511627845,NA,NA
worm1,18.79762421,-2.831422925,-0.020784869,-12.18630906,6.324705601,421.0842058,worm1,NA
2,31.06500505,-2.428519526,-0.025507595,-20.2572072,8.829561301,411.5122674,sensor2,NA
7,18.66948026,-2.044298161,-0.006132422,-14.92706589,11.99916371,263.0669003,sensor7,NA
3,17.75940864,-1.380228515,0.059452101,-31.25532877,14.94651742,187.907341,sensor3,NA
5,18.34787501,-1.968642432,-0.013411124,-11.60829672,8.593888502,301.7633363,sensor_5,NA
6,10.07833894,-1.407330547,0.300005009,-30.03768755,27.91272046,145.4946915,sensor6,NA
8,39.37119313,-1.775137965,0.008758062,-16.4308718,14.21844318,332.4115905,sensor_8,NA
8_2,24.41162162,-1.770788799,-0.012072674,-16.55683982,6.269331934,266.3416262,sensor8_2,NA
9,10.02330531,-1.766558639,0.066904148,-13.98449497,17.19200838,186.4848155,sensor9,NA
10,4.031117445,-1.870427743,0.210963341,-10.80222597,19.42838687,208.8061282,sensor10,NA
11,2.732896482,-2.318360233,0.200129419,-6.032286911,15.37581093,249.7253245,sensor11,NA
12,25.43553238,-1.906659388,-0.023680216,-13.88327048,4.423300379,353.7557962,sensor_12,NA
22,14.50029036,-1.891180245,-0.007032263,-10.01285507,4.562268261,269.1645724,sensor_22,NA
23,16.95150838,-2.049200476,0.001178224,-13.80761184,12.94108598,289.9886269,sensor_23,NA
24,16.59548027,-1.923690296,2.23e-4,-12.92038388,11.14087138,331.0179768,sensor_24,NA
13,6.715634457,-1.762147934,0.101521462,-11.90611565,13.70793848,164.0358693,sensor13_grøn,Tidliger 13gr�n
1gr�n,8.594997055,-1.677221763,0.086763298,-14.40159962,14.37832121,183.5867089,sensor1_grøn,NA
1gul,8.797779379,-1.699099501,0.10009666,-16.48333457,17.11120152,175.7674775,sensor1_gul,NA
4gul,21.98191365,-1.946710567,-0.018709663,-12.72329117,7.07513493,321.1208745,sensor_gul_4,NA
5gul,19.80591634,-1.935383505,-0.012842108,-12.65875684,8.505340401,295.6104815,sensor_gul_5,NA
B,19.78950805,-1.652302612,-0.008013083,-15.2397971,5.408437121,288.2957508,sensor_B,NA
D,18.23970878,-1.60685879,-0.008162218,-13.68104886,4.630542424,234.0332606,sensor_D,NA
E,19.61123531,-1.603445975,-0.009943097,-14.74838982,5.0644739,256.4587212,sensor_E,NA
F,19.09103342,-1.721702746,-0.007570429,-14.59487598,4.940918367,255.8756102,sensor_F,NA
G,16.40701209,-1.728721736,-0.007552508,-12.16282792,4.276470612,245.2063957,sensor_G,NA
Q,15.37278803,-1.685195264,-0.00454806,-11.74083797,5.579556445,214.7453325,sensor_Q,NA
R,19.96987909,-1.562693862,-0.009322382,-15.36613855,5.16044155,268.3973904,sensor_R,NA
