datetime,RH,tempC,SampleNumber,DIY_CH4,LGR_CH4,LGR_CO2,LGR_CH4d,LGR_CO2d
2023-07-28T10:48:57Z,48.1,27.43,1,0.6480782076229721,2.02968,437.002,2.07345,446.427
2023-07-28T10:48:59Z,48.21,27.41,2,0.670325694,2.0311,426.608,2.07506,435.841
2023-07-28T10:49:01Z,48.28,27.4,3,0.6799009803980214,2.02813,429.904,2.07156,439.109
2023-07-28T10:49:03Z,48.35,27.4,4,0.655502365,2.02673,426.671,2.07046,435.879
2023-07-28T10:49:05Z,48.44,27.42,5,0.6519713215143512,2.02413,426.668,2.06752,435.814
2023-07-28T10:49:07Z,48.61,27.41,6,0.6332984363086562,2.02475,437.982,2.06878,447.505
2023-07-28T10:49:09Z,48.74,27.39,7,0.6233933404075733,2.02285,435.165,2.06662,444.583
2023-07-28T10:49:11Z,48.92,27.4,8,0.6268425220585234,2.02137,431.913,2.06504,441.245
2023-07-28T10:49:13Z,49.03,27.39,9,0.5707174798901944,2.02213,429.285,2.06585,438.567
2023-07-28T10:49:15Z,49.16,27.36,10,0.5644649391227561,2.02236,429.497,2.0661,438.786
2023-07-28T10:49:17Z,49.27,27.37,11,0.5619023523733753,2.02399,433.517,2.06782,442.906
2023-07-28T10:49:19Z,49.42,27.38,12,0.6137511248627443,2.02104,431.938,2.06473,441.275
2023-07-28T10:49:21Z,49.51,27.38,13,0.6021362059355395,2.02297,429.865,2.06651,439.117
2023-07-28T10:49:23Z,49.63,27.35,14,0.6123731396842276,2.02033,426.542,2.06394,435.748
2023-07-28T10:49:25Z,49.69,27.37,15,0.597572834,2.02115,431.958,2.06462,441.247
2023-07-28T10:49:27Z,49.78,27.35,16,0.5930757937225186,2.0208,435.108,2.06443,444.503
2023-07-28T10:49:29Z,49.84,27.35,17,0.5996498411563289,2.02147,435.555,2.06505,444.946
2023-07-28T10:49:31Z,49.93,27.35,18,0.6031615257819523,2.02195,428.168,2.06519,437.324
2023-07-28T10:49:33Z,49.99,27.34,19,0.5696888120387333,2.02008,428.365,2.06376,437.626
2023-07-28T10:49:35Z,50.05,27.33,20,0.594861028,2.02267,439.116,2.06623,448.573
2023-07-28T10:49:37Z,50.12,27.32,21,0.604505116,2.0217,427.626,2.06525,436.838
2023-07-28T10:49:39Z,50.2,27.33,22,0.6351081851718741,2.02469,430.089,2.06831,439.356
2023-07-28T10:49:41Z,50.29,27.35,23,0.631471612,2.02963,428.997,2.07329,438.225
2023-07-28T10:49:43Z,50.3,27.3,24,0.6631706086094384,2.0350799999999998,435.487,2.0788,444.844
2023-07-28T10:49:45Z,50.37,27.33,25,0.6577162664968172,2.04124,424.754,2.08517,433.895
2023-07-28T10:49:47Z,50.45,27.34,26,0.6589210097634273,2.04357,421.246,2.08747,430.295
2023-07-28T10:49:49Z,50.52,27.36,27,0.6578031716916803,2.04163,429.763,2.08581,439.064
2023-07-28T10:49:52Z,50.58,27.3,28,0.6867745401576384,2.04156,429.267,2.08545,438.496
2023-07-28T10:49:53Z,50.65,27.32,29,0.6404169419067616,2.04104,431.369,2.08488,440.635
2023-07-28T10:49:55Z,50.74,27.3,30,0.6662080261323338,2.04128,426.071,2.08503,435.201
2023-07-28T10:49:57Z,50.77,27.3,31,0.6766446620988651,2.04453,435.05,2.08872,444.454
2023-07-28T10:49:59Z,50.84,27.31,32,0.7236289183837803,2.04328,425.086,2.08705,434.193
2023-07-28T10:50:01Z,50.85,27.28,33,0.7332295939057394,2.04576,430.708,2.0895,439.918
2023-07-28T10:50:03Z,50.99,27.32,34,0.7308709263080848,2.04386,425.938,2.08763,435.058
2023-07-28T10:50:05Z,51.03,27.29,35,0.7517624128469711,2.04426,428.471,2.08809,437.659
2023-07-28T10:50:07Z,51.13,27.3,36,0.7352159268154077,2.04688,423.253,2.09057,432.288
2023-07-28T10:50:09Z,51.21,27.34,37,0.7246119490265839,2.04629,429.281,2.09047,438.551
2023-07-28T10:50:12Z,51.28,27.31,38,0.7567577774519867,2.04737,431.886,2.09154,441.205
2023-07-28T10:50:13Z,51.37,27.3,39,0.7043527503896998,2.04883,427.031,2.09308,436.255
2023-07-28T10:50:15Z,51.48,27.3,40,0.7045123578553616,2.04853,432.825,2.09285,442.19
2023-07-28T10:50:17Z,51.52,27.29,41,0.7181013574182638,2.05057,428.689,2.09478,437.932
2023-07-28T10:50:20Z,51.61,27.29,42,0.7811918799088327,2.05261,423.834,2.09704,433.01
2023-07-28T10:50:22Z,51.68,27.29,43,0.7872775080748928,2.05334,434.635,2.09786,444.058
2023-07-28T10:50:24Z,51.77,27.3,44,0.7719839961405439,2.05303,424.503,2.09724,433.645
2023-07-28T10:50:26Z,51.86,27.31,45,0.7860869119684102,2.05517,427.829,2.09996,437.153
