Designator,Mid X,Mid Y,Layer,Rotation
10K.1,29.21,16.51,Top,180
10K.2,29.21,13.97,Top,180
10K.5,34.29,19.05,Top,180
10K.6,25.4,19.05,Top,0
10K.7,25.4,16.51,Top,180
10K.8,29.21,11.43,Top,0
10K.9,29.21,19.05,Top,0
20K1,39.37,19.05,Top,0
C1,52.07,6.35,Top,0
C2,50.97,20.13,Top,0
C3,15.24,33.02,Top,270
C4,19.05,29.21,Top,270
D2,59.69,15.24,Top,180
D3,59.67,9.91,Top,270
D4,17.78,11.43,Top,180
F1,60.96,20.32,Top,0
JP1,14.3,54.61,Top,0
JP2,11.43,54.61,Top,0
Q1,21.59,45.72,Top,270
Q2,59.69,5.08,Top,0
Q3,49.53,12.7,Top,0
Q5,21.59,38.1,Top,270
R2,15.24,8.89,Top,90
U$2,21.59,29.21,Top,180
U1,10.16,33.02,Top,180
