Comment,Designator,Footprint,JLCPCB Part #
100n,"C3,C5,C8,C11,CAREF",C1206K,C24497
BSS138,"Q1,Q5",SOT95P240X111-3N,C7420339
SDMMC06132,U$1,06132,C961673
CR1220,B2,CR1220,C964818
2.1mmDCbarrelJack,CN1,DCJACK_2MM_PTH,C16214
MC33269DTRK-5.0G,IC1,TO229P990X238-4N,C179577
PCF8523T,IC2,SOIC8_150MIL,C2651516
10uF,C10,0805-NO,C440198
CRYSTAL-26MHZSMD-3.2X2.5,Y1,CRYSTAL-SMD-3.2X2.5MM,C5380505
691403900002B,J2,691403900002B,C2898744
4050,U2,SOIC16,C131932
StatusLED,"D1,D5,D4",LEDC1005X25N_FLAT-R,C375439
DFLS1100-7,"D2,D3,D7",DIO_DFLS1100-7,C475665
JST-XH-4PIN,J1,B4B-XH-A,C18213726
10k,"10K.1,10K.3,10K.4,10K.6,10K.7,R7,R4,R16",0603,C25804
K33ELG,K33ELG2,K33ELG,C509262
100u,"C6,C7",E25-7,C43805
12pF,"C2,C4,C12,C13",0402,C182477
2N7002,Q2,SOT95P240X111-3N,C8545
SHT45-AD1B-R2,U$2,SHT4X,C5221601
150,"R5,10K.2,R2",0603,C25229
ADS1115,U1,MSOP10,C37593
NX3215SA-32.768K-STD-MUA-14,Y3,XTAL_NX3215SA-32.768K-STD-MUA-14,C620155
ATMEGA328PB-MU,IC3,QFN32_5X5_0.50,C967933
LP2985,LP2985-33DBVR,SOT23-5,C95414
ISPconnector,J4,2X5-SHROUDED_SMD,C22385222
1uF,C9,C1206K,C1848
1812L050PR,F1,FUSM4632X75,C151169
0,"R1,R3",0603,C21189
,S1,TACTILE_SWITCH_SMD_5.2MM,C22459528
