Comment,Designator,Footprint,JLCPCB Part #
100n,"C3,C8",C1206K,C24497
2.2_F,C23,0402-TIGHT,C12530
2.1mmDCbarrelJack,CN1,DCJACK_2MM_PTH,C16214
MC33269DTRK-5.0G,IC1,TO229P990X238-4N,C179577
PCF8523T,IC2,SOIC8_150MIL,C2651516
10uF,C10,0805-NO,C440198
SDMMC06132,U$1,6132,C116683
27,"R6,R8",0402-TIGHT,C25100
StatusLED,"D1,D5,D4",LEDC1005X25N_FLAT-R,C375439
2N7002,Q2,SOT95P240X111-3N,C350313
K30FR,"K33ELG2,K30FR1",K30FR,C509262
Dontsoldermiddlepad,U$3,CR1220,C964818
DFLS1100-7,"D3,D7,D2,D6",DIO_DFLS1100-7,C107674
ABM8-272-T3,Y2,XTAL_ABM8-272-T3,C20625731
100u,"C6,C7",E25-7,C43805
1uF,"C18,C21",0402-TIGHT,C52923
SHT45-AD1B-R2,U$2,SHT4X,C5221601
1k,"R1,R3",0402-TIGHT,C11702
RP2040,U5,QFN-56,C2040
B3U-1000P(M),S3,B3U-1000P(M),C2934715
10nF,C25,402,C15195
ADS1115,U1,MSOP10,C37593
switch,S1,TACTILE_SWITCH_SMD_5.2MM,C22459528
LP2985,LP2985-33DBVR,SOT23-5,C95414
0.1uF,"C4,C11,C14,C15,C16,C17,C19,C20,C1,C2,C5",0402-TIGHT,C1525
PINHD-1X4,J1,1X04,C91552
1812L050PR,F1,FUSM4632X75,C151169
10k,"R4,R7,R16",603,C5123581
usbc,J6,USB-C-16P-2LAYER-PADS,C165948
691403900002B,J2,691403900002B,C2898744
NX3215SA-32.768K-STD-MUA-14,Y3,XTAL_NX3215SA-32.768K-STD-MUA-14,C156244
15pF,"C22,C26",0402-TIGHT,C1548
W25Q128JVPIQ_TR,IC3,SON127P600X500X80-9N,C190862
1uF,C9,C1206K,C1848
12pF,"C12,C13",402,C1547
4050,U2,SOIC16,C131932
470,"10K.2,R2,R5",603,C23179
