Designator,Mid X,Mid Y,Layer,Rotation
10K.1,28.23,9.16,Top,270
10K.2,35.57,8.65,Top,90
10K.3,-6.3,17.8,Top,0
10K.4,-1.77,17.81,Top,0
10K.6,-8.95,21.91,Top,270
10K.7,-2.27,21.91,Top,90
B2,-17.01,12,Top,90
C2,9.07,5.05,Bottom,90
C3,-14.64,32.56,Top,180
C4,14.78,5.05,Bottom,270
C5,2.83,0.42,Top,180
C6,42.4,15.7,Top,180
C7,35.42,3.15,Bottom,270
C8,30.62,9.49,Top,270
C9,7.93,27.2,Top,270
C10,-0.27,10.93,Bottom,270
C11,9.44,15.4,Bottom,180
C12,-4.62,0.81,Bottom,90
C13,-2.08,0.81,Bottom,90
CAREF,14.76,17.05,Bottom,270
CN1,57.48,17.51,Top,180
D1,7.56,65.61,Top,0
D2,41.56,21.51,Top,0
D3,49.49,1.67,Top,270
D4,24.77,9.02,Top,270
D5,37.75,8.5,Top,90
D7,33.17,9.56,Top,90
F1,48.48,20.54,Top,0
IC1,46.58,8.27,Top,0
IC2,-4.49,10.92,Bottom,0
IC3,14.68,10.61,Bottom,90
J1,-21.15,29.14,Top,90
J2,60.6,3.01,Top,90
J3,27.07,52.77,Top,90
K33ELG2,19.9,56.8,Top,90
LP2985-33DBVR,4.8,27.2,Bottom,270
Q1,-6.43,21.66,Top,90
Q2,44.28,1.42,Top,180
Q5,0.29,21.66,Top,90
R1,24.09,14.9,Top,270
R2,22.21,8.52,Top,0
R3,27.6,14.9,Top,270
R4,2.54,11.87,Bottom,0
R5,9.84,64.5,Top,90
R7,9.07,39.59,Top,270
R16,30,60.54,Bottom,90
U$1,-6.75,50.56,Top,270
U$2,3,3.02,Top,270
U$13,36.36,56.61,Top,270
U1,-12.89,29.44,Top,270
U2,12.49,57.23,Bottom,90
Y1,11.94,4.06,Bottom,0
Y3,-3.34,3.73,Bottom,0
J4,27.68,18.8,Bottom,180
S1,27.6,3.2,Top,0
